2025-11-26 19:39:49,621 -- Module:columntransformer_base.py -- ColTransUPD.transform() -- INFO:Starting transform, X of shape: (14851, 7)
2025-11-26 19:39:49,989 -- Module:columntransformer_base.py -- ColTransUPD.transform() -- INFO:X_t shape: (14851, 9), done
2025-11-26 19:39:49,989 -- Module:columntransformer_base.py -- ScoringEngineCard.transform() -- INFO:X_t shape: (14851, 9), done
2025-11-26 19:39:58,877 -- Module:columntransformer_base.py -- ScoringEngineCard.fit() -- INFO:Starting fit, X of shape: (14851, 6)
2025-11-26 19:39:58,878 -- Module:columntransformer_base.py -- ColTransCPD.fit() -- INFO:Starting fit, X of shape: (14851, 6)
2025-11-26 19:39:58,878 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 19:39:58,991 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:X_t shape: (14851, 7), done
2025-11-26 19:39:58,992 -- Module:columntransformer_base.py -- ColTransUPD.fit() -- INFO:Starting fit, X of shape: (14851, 7)
2025-11-26 19:39:58,992 -- Module:columntransformer_base.py -- ScoringEngineCard.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 19:39:58,993 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 19:39:59,106 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:X_t shape: (14851, 7), done
2025-11-26 19:39:59,107 -- Module:columntransformer_base.py -- ColTransUPD.transform() -- INFO:Starting transform, X of shape: (14851, 7)
2025-11-26 19:39:59,468 -- Module:columntransformer_base.py -- ColTransUPD.transform() -- INFO:X_t shape: (14851, 9), done
2025-11-26 19:39:59,468 -- Module:columntransformer_base.py -- ScoringEngineCard.transform() -- INFO:X_t shape: (14851, 9), done
2025-11-26 19:40:22,583 -- Module:columntransformer_base.py -- ScoringEngineCard.fit() -- INFO:Starting fit, X of shape: (14851, 6)
2025-11-26 19:40:22,584 -- Module:columntransformer_base.py -- ColTransCPD.fit() -- INFO:Starting fit, X of shape: (14851, 6)
2025-11-26 19:40:22,584 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 19:40:22,696 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:X_t shape: (14851, 7), done
2025-11-26 19:40:22,696 -- Module:columntransformer_base.py -- ColTransUPD.fit() -- INFO:Starting fit, X of shape: (14851, 7)
2025-11-26 19:40:22,697 -- Module:columntransformer_base.py -- ScoringEngineCard.transform() -- INFO:Starting transform, X of shape: (14851, 6)
2025-11-26 19:40:22,697 -- Module:columntransformer_base.py -- ColTransCPD.transform() -- INFO:Starting transform, X of shape: (14851, 6)
